时间                  模式       几宫格  倒计时  是否胜利
2025-12-10 13:23:59   普通模式   3宫格   无     否
2025-12-10 13:36:21   普通模式   3宫格   无     否
2025-12-10 13:39:23   普通模式   3宫格   无     否
2025-12-10 13:39:41   自定义模式   3宫格   无     否
2025-12-10 22:46:18   普通模式   3宫格   无     否
2025-12-10 22:51:59   普通模式   3宫格   无     否
2025-12-10 23:15:42   普通模式   3宫格   无     是
2025-12-10 23:15:47   普通模式   3宫格   无     是
2025-12-10 23:16:00   普通模式   3宫格   无     否
2025-12-10 23:17:18   普通模式   3宫格   无     否
2025-12-10 23:19:10   普通模式   3宫格   无     否
2025-12-10 23:19:22   普通模式   3宫格   无     是
2025-12-10 23:59:11   普通模式   3宫格   无     是
2025-12-11 00:02:43   普通模式   3宫格   无     是
2025-12-11 00:06:50   普通模式   3宫格   无     否
2025-12-11 00:10:05   普通模式   3宫格   无     否
2025-12-11 00:12:44   普通模式   3宫格   无     是
2025-12-11 00:15:19   普通模式   3宫格   无     是
2025-12-11 00:16:07   普通模式   3宫格   30秒     否
2025-12-11 00:17:44   普通模式   3宫格   30秒     否
2025-12-11 00:21:25   普通模式   3宫格   无     否
2025-12-11 00:28:45   普通模式   3宫格   无     否
2025-12-11 00:37:27   普通模式   3宫格   无     否
2025-12-11 00:43:00   普通模式   3宫格   无     否
2025-12-11 00:43:17   普通模式   3宫格   无     否
2025-12-11 00:43:48   普通模式   3宫格   无     否
2025-12-11 00:49:32   普通模式   3宫格   无     否
2025-12-11 00:52:34   普通模式   3宫格   无     否
2025-12-11 00:54:19   普通模式   3宫格   无     否
2025-12-11 00:56:37   普通模式   3宫格   无     否
2025-12-11 00:57:30   普通模式   3宫格   无     是
2025-12-11 00:57:36   普通模式   3宫格   无     否
2025-12-11 00:57:48   普通模式   5宫格   5秒     否
2025-12-11 00:58:40   九宫格模式   3宫格   无     否
2025-12-11 00:58:49   旋转模式   3宫格   无     否
2025-12-11 00:59:31   普通模式   3宫格   无     否
2025-12-11 01:16:57   九宫格模式   3宫格   无     否
2025-12-11 01:21:58   自定义模式   3宫格   无     否
2025-12-11 10:11:39   普通模式   3宫格   无     是
2025-12-11 10:15:49   普通模式   3宫格   无     是
2025-12-11 10:16:05   普通模式   3宫格   无     是
2025-12-11 11:11:06   普通模式   3宫格   无     是
2025-12-11 11:11:46   普通模式   3宫格   无     是
2025-12-11 11:12:32   自定义模式   3宫格   无     是
2025-12-11 11:12:47   自定义模式   3宫格   无     是
2025-12-11 11:13:16   九宫格模式   3宫格   无     是
2025-12-11 11:13:42   旋转模式   3宫格   无     是
2025-12-11 11:13:56   旋转模式   3宫格   无     是
2025-12-11 11:14:13   普通模式   3宫格   5秒     否
2025-12-11 11:14:23   普通模式   3宫格   5秒     否
2025-12-11 11:14:39   普通模式   3宫格   5秒     是
2025-12-11 11:14:56   普通模式   3宫格   5秒     是
2025-12-11 11:15:07   普通模式   3宫格   5秒     否
2025-12-11 11:15:26   自定义模式   3宫格   5秒     是
2025-12-11 11:15:43   自定义模式   3宫格   5秒     是
2025-12-11 11:16:04   九宫格模式   3宫格   5秒     是
2025-12-11 11:16:13   九宫格模式   3宫格   5秒     否
2025-12-11 11:16:21   旋转模式   3宫格   无     否
2025-12-11 11:16:32   旋转模式   3宫格   5秒     否
2025-12-11 11:16:33   旋转模式   3宫格   5秒     否
2025-12-11 11:16:44   旋转模式   3宫格   5秒     否
2025-12-11 11:16:53   普通模式   3宫格   无     否
2025-12-11 11:27:32   旋转模式   3宫格   5秒     否
2025-12-11 11:27:48   旋转模式   3宫格   5秒     否
2025-12-11 11:27:55   旋转模式   3宫格   5秒     否
2025-12-11 11:28:20   旋转模式   3宫格   5秒     是
2025-12-11 11:28:32   旋转模式   3宫格   5秒     是
2025-12-11 11:28:50   旋转模式   3宫格   无     是
2025-12-11 11:29:02   旋转模式   3宫格   无     是
2025-12-11 11:29:21   自定义模式   3宫格   无     是
2025-12-11 11:29:40   自定义模式   3宫格   无     是
2025-12-11 12:55:09   普通模式   3宫格   无     否
2025-12-11 12:55:23   普通模式   3宫格   无     否
2025-12-11 12:55:41   普通模式   9宫格   无     否
2025-12-11 12:55:47   旋转模式   3宫格   无     否
2025-12-11 12:55:53   普通模式   3宫格   无     否
2025-12-11 13:00:21   普通模式   3宫格   无     是
2025-12-11 13:00:41   自定义模式   3宫格   无     是
2025-12-11 13:01:11   九宫格模式   3宫格   无     是
2025-12-11 13:01:43   旋转模式   3宫格   无     否
2025-12-11 13:02:31   普通模式   3宫格   无     否
2025-12-11 13:09:17   普通模式   3宫格   无     否
2025-12-11 13:19:55   普通模式   3宫格   无     是
2025-12-11 13:20:00   普通模式   3宫格   无     否
2025-12-11 13:20:05   普通模式   3宫格   无     否
2025-12-11 13:20:23   自定义模式   3宫格   5秒     否
2025-12-11 13:20:29   九宫格模式   3宫格   无     否
2025-12-11 13:20:45   旋转模式   3宫格   无     否
2025-12-11 13:21:13   普通模式   9宫格   无     否
2025-12-11 13:21:58   普通模式   3宫格   无     否
2025-12-11 13:22:19   普通模式   3宫格   无     否
2025-12-11 13:25:33   普通模式   3宫格   无     否
2025-12-11 13:29:18   普通模式   3宫格   无     否
2025-12-11 13:29:43   普通模式   3宫格   无     否
2025-12-11 13:29:54   旋转模式   3宫格   无     否
2025-12-11 13:30:04   九宫格模式   3宫格   5秒     否
2025-12-11 13:32:52   普通模式   3宫格   无     是
2025-12-11 13:54:37   普通模式   3宫格   无     是
2025-12-11 14:40:40   普通模式   3宫格   无     否
2025-12-11 17:43:21   普通模式   3宫格   无     否
2025-12-11 21:36:49   普通模式   3宫格   无     是
2025-12-11 21:37:52   普通模式   3宫格   无     否
